SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
1/24/20,Winter,1,Michael Williams Building,MWB,MWB3,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB3 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB4,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB4 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB5,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB5 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB6,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB6 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB7,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB7 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB8,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB8 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB9,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB9 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB1,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB1 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB2,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB2 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB3,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB3 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB4,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB4 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB5,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB5 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB6,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB6 NA,
1/24/20,Winter,1,David Turpin Building,DTB,DTB7,13:42,13:53,JO,N,none,n,n,n,NA,2020-01-24 DTB7 NA,
